STAZIONE FS;AEROPORTO;CODICE IDENTIFICATIVO;SALA CONFERENZE;PARCHEGGIO;PROVINCIA;IMPIANTI RISALITA;DENOMINAZIONE;SITO WEB;STELLE;TERMALE;ACCESSO AI DISABILI;PERIFERIA;FAX;NUOVA CLASSIFICAZIONE LR11;TELEFONO;COLLINARE;COMUNE;NUMERO CIVICO;INDIRIZZO;SOLARIUM;EMAIL;ZONA FIERA;LAGO;SPAGNOLO;INTERNO;CAP;AUTOSTRADA;FITNESS;GIOCHI BIMBI;TIPOLOGIA SECONDARIA;CATEGORIA;SAUNA;ZONA;INGLESE;ALTRI SERVIZI;CENTRO STORICO;ARIA CONDIZIONATA;LOCALITA;MARE;ANIMALI AMMESSI;PISCINA;TEDESCO;CHIUSURA TEMPORANEA;RISTORANTE;FRANCESE;TIPOLOGIA;PISCINA COPERTA;DATA ULTIMA MODIFICA
FALSO;FALSO;52168;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE BIKAPI';www.bikapì.com;;FALSO;FALSO;FALSO;045 7256911;2 Leoni;045 7256911 - 3474436981;VERO;GARDA;35;VIA DEGLI ALPINI,;FALSO;info@bikapì.com;FALSO;VERO;FALSO;;37016;FALSO;FALSO;FALSO;;2;FALSO;garda;VERO;;VERO;VERO;;FALSO;VERO;FALSO;VERO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;13/01/2017
FALSO;FALSO;55541;FALSO;FALSO;VERONA;FALSO;AFFITTACAMERE BORGO ROMA;;;FALSO;VERO;FALSO;458200527;2 Leoni;458200527;FALSO;VERONA;355;Via Scuderlando;FALSO;info@affittacamereborgoroma.com;VERO;FALSO;FALSO;;37135;VERO;FALSO;FALSO;;3;FALSO;verona;FALSO;;FALSO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;04/05/2017
FALSO;FALSO;89760;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE BORGO TRENTO;;;FALSO;VERO;FALSO;;2 Leoni;045 8350557;FALSO;VERONA;2/b;Via Pindemonte;FALSO;gennarocerasuolo@libero.it;FALSO;FALSO;FALSO;;37126;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;la struttura si trova di fronte all'ingresso dell'ospedale maggiore borgo trento;VERO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;09/03/2017
FALSO;FALSO;475;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE CIRIONI GIANNI;www.villaterri.it;;FALSO;FALSO;FALSO;458206077;2 Leoni;45509744;FALSO;VERONA;13/A -PIANO 2^ - INTERNO N. 6;Via delle Menegone;FALSO;info@villaterri.it;VERO;FALSO;FALSO;;37134;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;POSTI AUTO COPERTI + garages;FALSO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;07/02/2017
FALSO;FALSO;463;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE CONSOLINI;www.locandasperanza.com;;FALSO;FALSO;FALSO;045 6296430;2 Leoni;045 6296429;FALSO;TORRI DEL BENACO;10;Località Sant'Antonio,;FALSO;info@locandasperanza.com;FALSO;VERO;FALSO;;37010;FALSO;FALSO;FALSO;;3;FALSO;garda;FALSO;;FALSO;FALSO;;FALSO;VERO;FALSO;VERO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;17/03/2017
FALSO;FALSO;348;FALSO;FALSO;VERONA;FALSO;AFFITTACAMERE DI MAZZURANA CLAUDIO;www.dananni.com;;FALSO;FALSO;FALSO;456200415;3 Leoni;0456200321- 0457200080;VERO;COSTERMANO SUL GARDA;35/A;Loc. Gazzoli;FALSO;info@dananni.com;FALSO;FALSO;FALSO;;37010;FALSO;FALSO;FALSO;;3;FALSO;garda;VERO;;FALSO;VERO;;FALSO;FALSO;FALSO;VERO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;29/03/2017
FALSO;FALSO;491;FALSO;FALSO;VERONA;FALSO;AFFITTA CAMERE ESPOSITO;;;FALSO;FALSO;FALSO;45574730;;458340012;FALSO;VERONA;98/100;Via Mameli;FALSO;mariagrazia251065@gmail.com;FALSO;FALSO;VERO;;37126;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;;FALSO;VERO;;FALSO;VERO;FALSO;VERO;FALSO;VERO;FALSO;AFFITTACAMERE;FALSO;06/09/2016
FALSO;FALSO;500;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE FELIX;www.villaterri.it;;FALSO;FALSO;FALSO;458206077;2 Leoni;45509744;FALSO;VERONA;35 - PIANO 1^ - INT. N. 21;Via delle Menegone;FALSO;info@villaterri.it;VERO;FALSO;FALSO;;37134;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;posti auto coperti;FALSO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;07/02/2017
FALSO;FALSO;483;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE GIRARDI TERESA;www.villaterri.it;;FALSO;FALSO;FALSO;458206077;3°;45509744;FALSO;VERONA;13;Via delle Menegone;FALSO;info@villaterri.it;VERO;FALSO;FALSO;;37134;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;posti auto coperti - garages;FALSO;FALSO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;13/02/2017
FALSO;FALSO;58820;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE GIRASOLE;www.villaterri.it;;FALSO;FALSO;FALSO;458206077;3 Leoni;45509744;FALSO;VERONA;13;Via delle Menegone;FALSO;info@villaterri.it;VERO;FALSO;FALSO;;37134;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;;FALSO;VERO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;13/02/2017
FALSO;FALSO;336;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE GIRELLI SORELLE;;;FALSO;FALSO;VERO;457152073;4 Leoni;457152073;FALSO;BUSSOLENGO;120;Loc. Zamboni;FALSO;info@girellisorelle.it;FALSO;FALSO;FALSO;;37012;FALSO;FALSO;FALSO;;2;FALSO;garda;FALSO;;FALSO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;VERO;FALSO;AFFITTACAMERE;FALSO;14/03/2017
FALSO;FALSO;44598;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE IL BLOCCO;;;FALSO;FALSO;VERO;045 9211302;;045 9211311;FALSO;SAN GIOVANNI LUPATOTO;4;Via Cà Nova Zampieri;FALSO;;FALSO;FALSO;FALSO;;37057;FALSO;FALSO;FALSO;;2;FALSO;verona;VERO;;FALSO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;19/08/2013
FALSO;FALSO;439;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE LA DIVINA;www.ladivina.it;;FALSO;FALSO;FALSO;456000135;;456000135;VERO;NEGRAR;6;Via Francia;FALSO;info@ladivina.it;FALSO;FALSO;FALSO;;37024;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;;FALSO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;13/10/2014
FALSO;FALSO;97060;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE LA SOSTA;;;FALSO;FALSO;VERO;;;045 6862744 - 349 5229715;FALSO;CAVAION VERONESE;1/A;VIA VAL DE L'AZE';FALSO;locandalasosta@gmail.com;FALSO;FALSO;FALSO;;37010;FALSO;FALSO;VERO;;2;FALSO;garda;VERO;;FALSO;VERO;;FALSO;FALSO;FALSO;VERO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;23/09/2016
FALSO;FALSO;465;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE MARISA;www.affittacamere-marisa.com;;FALSO;FALSO;FALSO;457945166;;457945353;FALSO;VALEGGIO SUL MINCIO;14;Via Fontanello;FALSO;info@affittacamere-marisa.com;FALSO;FALSO;FALSO;;37067;FALSO;FALSO;FALSO;;3;FALSO;garda;FALSO;;FALSO;VERO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;18/08/2014
FALSO;FALSO;92700;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE MATTEO BORGO ROMA;www.affittacamerematteoborgoroma.it;;FALSO;VERO;FALSO;045 549133;;328 0504768;FALSO;VERONA;1/a - b;Via Pasqualino Benedetti;FALSO;affittacamerematteo@gmail.com;VERO;FALSO;FALSO;;37135;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;;FALSO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;09/05/2014
FALSO;FALSO;329;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE TRIESTE;;;FALSO;FALSO;VERO;;;442670187;FALSO;BONAVIGO;29;Via Trieste;FALSO;;FALSO;FALSO;FALSO;;37040;FALSO;FALSO;FALSO;;3;FALSO;verona;FALSO;;FALSO;FALSO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;09/10/2012
FALSO;FALSO;112243;FALSO;FALSO;VERONA;FALSO;AI LEONI;www.aileoni.com;;FALSO;FALSO;FALSO;;2 Leoni;348 4746880;FALSO;VERONA;7;Via XX Settembre;FALSO;aileoni@libero.it;FALSO;FALSO;FALSO;;37129;FALSO;FALSO;FALSO;;3;FALSO;verona;FALSO;;FALSO;FALSO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;19/01/2017
FALSO;FALSO;435;FALSO;VERO;VERONA;FALSO;AI PLATANI;;;FALSO;FALSO;FALSO;457513149;2 Leoni;0457513149 - 3490657178;VERO;NEGRAR;2;Viale del lavoro;FALSO;tratplat@libero.it;FALSO;FALSO;VERO;;37024;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;;FALSO;FALSO;;FALSO;FALSO;FALSO;FALSO;FALSO;VERO;FALSO;AFFITTACAMERE;FALSO;13/01/2017
FALSO;FALSO;113362;FALSO;VERO;VERONA;FALSO;AIR SUITE;;;FALSO;FALSO;FALSO;;2 Leoni;045 595388;FALSO;VERONA;11 scala b;Corso Porta Nuova;FALSO;info@hotelmastino.it;FALSO;FALSO;FALSO;;37121;FALSO;FALSO;FALSO;;;FALSO;verona;VERO;vicinanza mezzi pubblici, FRigo bar, servizio lavanderia, Wi Fi,;VERO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;13/01/2017
FALSO;FALSO;52659;FALSO;VERO;VERONA;FALSO;AL CASTEL;;;FALSO;FALSO;FALSO;457270034;;3331753240;VERO;BRENTINO BELLUNO;1;Località Castel;FALSO;fasolielisa@yahoo.it;FALSO;FALSO;FALSO;;37020;FALSO;FALSO;VERO;;3;FALSO;garda;VERO;;FALSO;VERO;;FALSO;FALSO;FALSO;VERO;FALSO;VERO;FALSO;AFFITTACAMERE;FALSO;26/02/2013
FALSO;FALSO;459;FALSO;VERO;VERONA;FALSO;AL GAVINEL;;;FALSO;FALSO;FALSO;;;045 7535084;VERO;SANT'ANNA D'ALFAEDO;69;Via Ceredo;FALSO;eddilaiti@gmail.com;FALSO;FALSO;FALSO;;37020;FALSO;FALSO;FALSO;;3;FALSO;verona;FALSO;;FALSO;FALSO;;FALSO;FALSO;FALSO;FALSO;FALSO;VERO;FALSO;AFFITTACAMERE;FALSO;27/10/2014
FALSO;FALSO;112682;FALSO;FALSO;VERONA;FALSO;ALLE ERBE;www.alleerbe.it;;FALSO;FALSO;FALSO;;2 Leoni;3484746880;FALSO;VERONA;5;Corte Sgarzarie;FALSO;bballeerbe@libero.it;FALSO;FALSO;VERO;;37121;FALSO;FALSO;FALSO;;;FALSO;verona;VERO;wi-fi;VERO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;25/09/2017
FALSO;FALSO;487;FALSO;VERO;VERONA;FALSO;ALLOGGIO LA PESA;www.camereverona.com;;FALSO;FALSO;VERO;;3 Leoni;45550368;VERO;VERONA;133;Via Poiano;FALSO;lapesaverona@gmail.com;FALSO;FALSO;FALSO;;37142;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;wi-fi .  la somministrazione alimenti si riferisce alla prima colazione -;FALSO;VERO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;03/05/2017
FALSO;FALSO;50204;FALSO;VERO;VERONA;FALSO;ALLOGGIO LE CASETTE;;;FALSO;VERO;FALSO;458004058;3 Leoni;458007512;FALSO;VERONA;6;VICOLO SAN LORENZO;FALSO;alloggio.lecasette@gmail.com;FALSO;FALSO;FALSO;;37122;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;;VERO;FALSO;;FALSO;VERO;FALSO;VERO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;17/02/2017
FALSO;FALSO;119102;FALSO;VERO;VERONA;FALSO;ALLOGGIO MAROGNA;www.alloggisantanna.it;;FALSO;FALSO;FALSO;;2 Leoni;366 2273119;FALSO;SANT'ANNA D'ALFAEDO;1;Piazza dalla Bona;FALSO;info@alloggisantanna.it;FALSO;FALSO;FALSO;;37020;FALSO;FALSO;FALSO;;;FALSO;verona;VERO;vicinanza mezzi pubblici, wi-fi, vicinanza maneggio, zona montagna;FALSO;FALSO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;13/01/2017
FALSO;FALSO;442;FALSO;VERO;VERONA;FALSO;AL SOLE;www.pizzeriaalsole.it;;FALSO;FALSO;VERO;457550826;;457550826;FALSO;PESCHIERA DEL GARDA;3 / 5;Via Andrea Palladio;FALSO;info@pizzeriaalsole.it;FALSO;FALSO;VERO;;37019;FALSO;FALSO;FALSO;;3;FALSO;garda;FALSO;GENTILEZZA E CORDIALITA';FALSO;VERO;;FALSO;VERO;FALSO;VERO;FALSO;VERO;FALSO;AFFITTACAMERE;FALSO;09/01/2017
FALSO;FALSO;167409;FALSO;FALSO;VERONA;FALSO;AMANTITRE;;;FALSO;FALSO;FALSO;45595214;3 Leoni;45595499;FALSO;VERONA;3;VICOLO AMANTI;FALSO;info@anticaportaleona.com;FALSO;FALSO;FALSO;;37100;FALSO;FALSO;FALSO;;;FALSO;verona;VERO;frigobar-servzio lavanderia;VERO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;23/12/2016
FALSO;FALSO;454;FALSO;FALSO;VERONA;FALSO;ANDREOLI & MIGLIORANZI;www.hotelallacampagna.com;;FALSO;FALSO;VERO;459250680;3 Leoni;45545513;FALSO;SAN GIOVANNI LUPATOTO;2;Via Borgo Case Popolari;FALSO;info@hotelallacampagna.com;FALSO;FALSO;VERO;;37057;FALSO;FALSO;FALSO;;2;FALSO;verona;VERO;TV SATELLITE E ARIA CONDIZIONATA NELLE CAMERE;FALSO;VERO;;FALSO;FALSO;FALSO;VERO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;03/04/2017
FALSO;FALSO;441;FALSO;VERO;VERONA;FALSO;ANTICA DIMORA IL CONTE DI VERONA;www.anticadimoraverona.it;;FALSO;FALSO;FALSO;045 6770506;;045 6770346 -  366 1233368;VERO;PASTRENGO;17;Località Ronchi;FALSO;anticadimorailconte@gmail.com;FALSO;FALSO;FALSO;;37010;FALSO;FALSO;FALSO;;3;FALSO;garda;VERO;DOCCIA IDROMASS. -APERTURA 24H/24H -NAVETTA GRATIS;FALSO;VERO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;28/03/2014
FALSO;FALSO;44581;FALSO;VERO;VERONA;FALSO;ANTICA TRATTORIA DA BEPI;www.cortelonardi.it;;FALSO;FALSO;FALSO;;2 Leoni;457755001;VERO;MARANO DI VALPOLICELLA;14/a;Via Valpolicella;FALSO;info@anticatrattoriadabepi.it;FALSO;FALSO;FALSO;;37020;FALSO;FALSO;FALSO;;2;FALSO;verona;VERO;;FALSO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;VERO;FALSO;AFFITTACAMERE;FALSO;10/04/2017
FALSO;FALSO;201245;FALSO;FALSO;VERONA;FALSO;ANTICO ALLOGGIO LESSINIA;;;FALSO;VERO;FALSO;;3 Leoni;045 7835503;VERO;VELO VERONESE;55;Piazza Vittoria;FALSO;pizzerialessinia@gmail.com;FALSO;FALSO;FALSO;;37030;FALSO;FALSO;FALSO;;;FALSO;verona;VERO;accettazione gruppi, wi-fi;VERO;FALSO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;01/09/2017
FALSO;FALSO;45760;FALSO;FALSO;VERONA;FALSO;ARCOBALENO;;;FALSO;FALSO;FALSO;459578125;3 Leoni;0457514243 - 3338266357;FALSO;VERONA;18;Via Gian Battista da Monte;FALSO;info@arcobalenoverona.com;FALSO;FALSO;FALSO;;37126;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;;VERO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;17/03/2017
FALSO;FALSO;123483;FALSO;FALSO;VERONA;FALSO;ARENA LUXURY ROOMS;www.arenaluxuryroom.it;;FALSO;FALSO;FALSO;;3 Leoni;347 5858693;FALSO;VERONA;2/A;PIAZZA MURA GALLIENO;FALSO;info@arenaluxuryroom.it;FALSO;FALSO;FALSO;;37100;FALSO;FALSO;FALSO;;;FALSO;verona;VERO;frigobar-vicinanza mezzi pubblici - wi fi;VERO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;17/05/2016
FALSO;FALSO;47554;FALSO;VERO;VERONA;FALSO;ARENA SUITE;WWW.ARENASUITE.IT;;FALSO;FALSO;FALSO;;;3475903135;FALSO;VERONA;36;STRADONE PORTA PALIO;FALSO;INFO@ARENASUITE.IT;FALSO;FALSO;VERO;;37100;FALSO;FALSO;FALSO;;2;FALSO;verona;VERO;;VERO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;16/02/2018
FALSO;FALSO;111983;FALSO;VERO;VERONA;FALSO;ART VERONA ROOMS;www.artveronabb.it;;FALSO;FALSO;FALSO;;3 Leoni;391 3554159;FALSO;VERONA;34;Piazza Renato Simoni;FALSO;info@artveronabb.it;FALSO;FALSO;FALSO;;37100;FALSO;FALSO;FALSO;;2;FALSO;verona;VERO;Vicinanza mezzi pubblici, frigobar, servizio navetta, menu per celiali, wi-fi;VERO;VERO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;13/01/2017
FALSO;FALSO;201258;FALSO;FALSO;VERONA;FALSO;ATTICO SEI;www.atticosei.com;;FALSO;FALSO;FALSO;;4 Leoni;333 6587337;FALSO;VERONA;8;Piazzale Stefani;FALSO;info@atticosei.com;FALSO;FALSO;VERO;;37100;FALSO;FALSO;FALSO;;;FALSO;verona;VERO;vicinanza mezzi pubblici, accettazione gruppi, frigobar, wi-fi;VERO;VERO;;FALSO;VERO;FALSO;VERO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;11/09/2017
FALSO;FALSO;157682;FALSO;FALSO;VERONA;VERO;AUNUS NATURE RELAIS;www.aunus.it;;FALSO;FALSO;FALSO;45923945;3 Leoni;3406648983;FALSO;ROVERE' VERONESE;31;via Della Valletta;FALSO;maurozampieri59@gmail.com;FALSO;FALSO;FALSO;;37028;FALSO;FALSO;FALSO;;;FALSO;verona;VERO;;FALSO;FALSO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;06/10/2016
FALSO;FALSO;184062;FALSO;FALSO;VERONA;FALSO;AURELIA ROOMS;;;FALSO;FALSO;FALSO;;3 Leoni;388 3278700;FALSO;VERONA;60;CORSO PORTA NUOVA;FALSO;aureliarooms.verona@gmail.com;FALSO;FALSO;FALSO;;37121;FALSO;FALSO;FALSO;;;FALSO;verona;VERO;;VERO;VERO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;11/09/2017
FALSO;FALSO;195885;FALSO;VERO;VERONA;FALSO;BARDOLINERS;www.bardoliners.com;;FALSO;FALSO;FALSO;045 8752093;2 Leoni;045 6211008;FALSO;BARDOLINO;25;Via Palestro;FALSO;info@bardoliners.com;FALSO;VERO;FALSO;;37011;FALSO;FALSO;FALSO;;;FALSO;garda;VERO;accettazione gruppi, sala tv, wi-fi;VERO;VERO;;FALSO;FALSO;FALSO;VERO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;07/07/2017
FALSO;FALSO;402;FALSO;VERO;VERONA;FALSO;BENAMATI RACHELE2;www.casabenamati.it;;FALSO;VERO;VERO;456584269;2 Leoni;456584269;FALSO;MALCESINE;151;Via Navene Vecchia;FALSO;info@casabenamati.it;FALSO;VERO;FALSO;;37018;FALSO;FALSO;FALSO;;3;FALSO;garda;VERO;;FALSO;FALSO;;FALSO;VERO;FALSO;VERO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;18/10/2017
