"STAZIONE FS";"AEROPORTO";"CODICE IDENTIFICATIVO";"SALA CONFERENZE";"PARCHEGGIO";"PROVINCIA";"IMPIANTI RISALITA";"DENOMINAZIONE";"SITO WEB";"STELLE";"TERMALE";"ACCESSO AI DISABILI";"PERIFERIA";"FAX";"NUOVA CLASSIFICAZIONE LR11";"TELEFONO";"COLLINARE";"COMUNE";"NUMERO CIVICO";"INDIRIZZO";"SOLARIUM";"EMAIL";"ZONA FIERA";"LAGO";"SPAGNOLO";"INTERNO";"CAP";"AUTOSTRADA";"FITNESS";"GIOCHI BIMBI";"TIPOLOGIA SECONDARIA";"CATEGORIA";"SAUNA";"ZONA";"INGLESE";"ALTRI SERVIZI";"CENTRO STORICO";"ARIA CONDIZIONATA";"LOCALITA";"MARE";"ANIMALI AMMESSI";"PISCINA";"TEDESCO";"CHIUSURA TEMPORANEA";"RISTORANTE";"FRANCESE";"TIPOLOGIA";"PISCINA COPERTA";"DATA ULTIMA MODIFICA"
"Falso";"Falso";"52168";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE BIKAPI'";"www.bikapì.com";;"Falso";"Falso";"Falso";"045 7256911";"2 Leoni";"045 7256911 - 3474436981";"Vero";"GARDA";"35";"VIA DEGLI ALPINI,";"Falso";"info@bikapì.com";"Falso";"Vero";"Falso";;"37016";"Falso";"Falso";"Falso";;"2";"Falso";"garda";"Vero";;"Vero";"Vero";;"Falso";"Vero";"Falso";"Vero";"Falso";"Falso";"Vero";"AFFITTACAMERE";"Falso";"13/01/2017"
"Falso";"Falso";"55541";"Falso";"Falso";"VERONA";"Falso";"AFFITTACAMERE BORGO ROMA";;;"Falso";"Vero";"Falso";"0458200527";"2 Leoni";"0458200527";"Falso";"VERONA";"355";"Via Scuderlando";"Falso";"info@affittacamereborgoroma.com";"Vero";"Falso";"Falso";;"37135";"Vero";"Falso";"Falso";;"3";"Falso";"verona";"Falso";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"04/05/2017"
"Falso";"Falso";"89760";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE BORGO TRENTO";;;"Falso";"Vero";"Falso";;"2 Leoni";"045 8350557";"Falso";"VERONA";"2/b";"Via Pindemonte";"Falso";"gennarocerasuolo@libero.it";"Falso";"Falso";"Falso";;"37126";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";"la struttura si trova di fronte all'ingresso dell'ospedale maggiore borgo trento";"Vero";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"09/03/2017"
"Falso";"Falso";"475";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE CIRIONI GIANNI";"www.villaterri.it";;"Falso";"Falso";"Falso";"0458206077";"2 Leoni";"045509744";"Falso";"VERONA";"13/A -PIANO 2^ - INTERNO N. 6";"Via delle Menegone";"Falso";"info@villaterri.it";"Vero";"Falso";"Falso";;"37134";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";"POSTI AUTO COPERTI + garages";"Falso";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"07/02/2017"
"Falso";"Falso";"463";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE CONSOLINI";"www.locandasperanza.com";;"Falso";"Falso";"Falso";"045 6296430";"2 Leoni";"045 6296429";"Falso";"TORRI DEL BENACO";"10";"Località Sant'Antonio,";"Falso";"info@locandasperanza.com";"Falso";"Vero";"Falso";;"37010";"Falso";"Falso";"Falso";;"3";"Falso";"garda";"Falso";;"Falso";"Falso";;"Falso";"Vero";"Falso";"Vero";"Falso";"Falso";"Vero";"AFFITTACAMERE";"Falso";"17/03/2017"
"Falso";"Falso";"348";"Falso";"Falso";"VERONA";"Falso";"AFFITTACAMERE DI MAZZURANA CLAUDIO";"www.dananni.com";;"Falso";"Falso";"Falso";"0456200415";"3 Leoni";"0456200321- 0457200080";"Vero";"COSTERMANO SUL GARDA";"35/A";"Loc. Gazzoli";"Falso";"info@dananni.com";"Falso";"Falso";"Falso";;"37010";"Falso";"Falso";"Falso";;"3";"Falso";"garda";"Vero";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Vero";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"29/03/2017"
"Falso";"Falso";"491";"Falso";"Falso";"VERONA";"Falso";"AFFITTA CAMERE ESPOSITO";;;"Falso";"Falso";"Falso";"045574730";;"0458340012";"Falso";"VERONA";"98/100";"Via Mameli";"Falso";"mariagrazia251065@gmail.com";"Falso";"Falso";"Vero";;"37126";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";;"Falso";"Vero";;"Falso";"Vero";"Falso";"Vero";"Falso";"Vero";"Falso";"AFFITTACAMERE";"Falso";"06/09/2016"
"Falso";"Falso";"500";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE FELIX";"www.villaterri.it";;"Falso";"Falso";"Falso";"0458206077";"2 Leoni";"045509744";"Falso";"VERONA";"35 - PIANO 1^ - INT. N. 21";"Via delle Menegone";"Falso";"info@villaterri.it";"Vero";"Falso";"Falso";;"37134";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";"posti auto coperti";"Falso";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"07/02/2017"
"Falso";"Falso";"483";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE GIRARDI TERESA";"www.villaterri.it";;"Falso";"Falso";"Falso";"0458206077";"3°";"045509744";"Falso";"VERONA";"13";"Via delle Menegone";"Falso";"info@villaterri.it";"Vero";"Falso";"Falso";;"37134";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";"posti auto coperti - garages";"Falso";"Falso";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"13/02/2017"
"Falso";"Falso";"58820";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE GIRASOLE";"www.villaterri.it";;"Falso";"Falso";"Falso";"0458206077";"3 Leoni";"045509744";"Falso";"VERONA";"13";"Via delle Menegone";"Falso";"info@villaterri.it";"Vero";"Falso";"Falso";;"37134";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";;"Falso";"Vero";;"Falso";"Vero";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"13/02/2017"
"Falso";"Falso";"336";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE GIRELLI SORELLE";;;"Falso";"Falso";"Vero";"0457152073";"4 Leoni";"0457152073";"Falso";"BUSSOLENGO";"120";"Loc. Zamboni";"Falso";"info@girellisorelle.it";"Falso";"Falso";"Falso";;"37012";"Falso";"Falso";"Falso";;"2";"Falso";"garda";"Falso";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Vero";"Falso";"AFFITTACAMERE";"Falso";"14/03/2017"
"Falso";"Falso";"44598";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE IL BLOCCO";;;"Falso";"Falso";"Vero";"045 9211302";;"045 9211311";"Falso";"SAN GIOVANNI LUPATOTO";"4";"Via Cà Nova Zampieri";"Falso";;"Falso";"Falso";"Falso";;"37057";"Falso";"Falso";"Falso";;"2";"Falso";"verona";"Vero";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"19/08/2013"
"Falso";"Falso";"439";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE LA DIVINA";"www.ladivina.it";;"Falso";"Falso";"Falso";"0456000135";;"0456000135";"Vero";"NEGRAR";"6";"Via Francia";"Falso";"info@ladivina.it";"Falso";"Falso";"Falso";;"37024";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"13/10/2014"
"Falso";"Falso";"97060";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE LA SOSTA";;;"Falso";"Falso";"Vero";;;"045 6862744 - 349 5229715";"Falso";"CAVAION VERONESE";"1/A";"VIA VAL DE L'AZE'";"Falso";"locandalasosta@gmail.com";"Falso";"Falso";"Falso";;"37010";"Falso";"Falso";"Vero";;"2";"Falso";"garda";"Vero";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Vero";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"23/09/2016"
"Falso";"Falso";"465";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE MARISA";"www.affittacamere-marisa.com";;"Falso";"Falso";"Falso";"0457945166";;"0457945353";"Falso";"VALEGGIO SUL MINCIO";"14";"Via Fontanello";"Falso";"info@affittacamere-marisa.com";"Falso";"Falso";"Falso";;"37067";"Falso";"Falso";"Falso";;"3";"Falso";"garda";"Falso";;"Falso";"Vero";;"Falso";"Vero";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"18/08/2014"
"Falso";"Falso";"92700";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE MATTEO BORGO ROMA";"www.affittacamerematteoborgoroma.it";;"Falso";"Vero";"Falso";"045 549133";;"328 0504768";"Falso";"VERONA";"1/a - b";"Via Pasqualino Benedetti";"Falso";"affittacamerematteo@gmail.com";"Vero";"Falso";"Falso";;"37135";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"09/05/2014"
"Falso";"Falso";"329";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE TRIESTE";;;"Falso";"Falso";"Vero";;;"0442670187";"Falso";"BONAVIGO";"29";"Via Trieste";"Falso";;"Falso";"Falso";"Falso";;"37040";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Falso";;"Falso";"Falso";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"09/10/2012"
"Falso";"Falso";"112243";"Falso";"Falso";"VERONA";"Falso";"AI LEONI";"www.aileoni.com";;"Falso";"Falso";"Falso";;"2 Leoni";"348 4746880";"Falso";"VERONA";"7";"Via XX Settembre";"Falso";"aileoni@libero.it";"Falso";"Falso";"Falso";;"37129";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Falso";;"Falso";"Falso";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"19/01/2017"
"Falso";"Falso";"435";"Falso";"Vero";"VERONA";"Falso";"AI PLATANI";;;"Falso";"Falso";"Falso";"0457513149";"2 Leoni";"0457513149 - 3490657178";"Vero";"NEGRAR";"2";"Viale del lavoro";"Falso";"tratplat@libero.it";"Falso";"Falso";"Vero";;"37024";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";;"Falso";"Falso";;"Falso";"Falso";"Falso";"Falso";"Falso";"Vero";"Falso";"AFFITTACAMERE";"Falso";"13/01/2017"
"Falso";"Falso";"113362";"Falso";"Vero";"VERONA";"Falso";"AIR SUITE";;;"Falso";"Falso";"Falso";;"2 Leoni";"045 595388";"Falso";"VERONA";"11 scala b";"Corso Porta Nuova";"Falso";"info@hotelmastino.it";"Falso";"Falso";"Falso";;"37121";"Falso";"Falso";"Falso";;;"Falso";"verona";"Vero";"vicinanza mezzi pubblici, FRigo bar, servizio lavanderia, Wi Fi,";"Vero";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"13/01/2017"
"Falso";"Falso";"52659";"Falso";"Vero";"VERONA";"Falso";"AL CASTEL";;;"Falso";"Falso";"Falso";"0457270034";;"3331753240";"Vero";"BRENTINO BELLUNO";"1";"Località Castel";"Falso";"fasolielisa@yahoo.it";"Falso";"Falso";"Falso";;"37020";"Falso";"Falso";"Vero";;"3";"Falso";"garda";"Vero";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Vero";"Falso";"Vero";"Falso";"AFFITTACAMERE";"Falso";"26/02/2013"
"Falso";"Falso";"459";"Falso";"Vero";"VERONA";"Falso";"AL GAVINEL";;;"Falso";"Falso";"Falso";;;"045 7535084";"Vero";"SANT'ANNA D'ALFAEDO";"69";"Via Ceredo";"Falso";"eddilaiti@gmail.com";"Falso";"Falso";"Falso";;"37020";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Falso";;"Falso";"Falso";;"Falso";"Falso";"Falso";"Falso";"Falso";"Vero";"Falso";"AFFITTACAMERE";"Falso";"27/10/2014"
"Falso";"Falso";"112682";"Falso";"Falso";"VERONA";"Falso";"ALLE ERBE";"www.alleerbe.it";;"Falso";"Falso";"Falso";;"2 Leoni";"3484746880";"Falso";"VERONA";"5";"Corte Sgarzarie";"Falso";"bballeerbe@libero.it";"Falso";"Falso";"Vero";;"37121";"Falso";"Falso";"Falso";;;"Falso";"verona";"Vero";"wi-fi";"Vero";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"25/09/2017"
"Falso";"Falso";"487";"Falso";"Vero";"VERONA";"Falso";"ALLOGGIO LA PESA";"www.camereverona.com";;"Falso";"Falso";"Vero";;"3 Leoni";"045550368";"Vero";"VERONA";"133";"Via Poiano";"Falso";"lapesaverona@gmail.com";"Falso";"Falso";"Falso";;"37142";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";"wi-fi .  la somministrazione alimenti si riferisce alla prima colazione -";"Falso";"Vero";;"Falso";"Vero";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"03/05/2017"
"Falso";"Falso";"50204";"Falso";"Vero";"VERONA";"Falso";"ALLOGGIO LE CASETTE";;;"Falso";"Vero";"Falso";"0458004058";"3 Leoni";"0458007512";"Falso";"VERONA";"6";"VICOLO SAN LORENZO";"Falso";"alloggio.lecasette@gmail.com";"Falso";"Falso";"Falso";;"37122";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";;"Vero";"Falso";;"Falso";"Vero";"Falso";"Vero";"Falso";"Falso";"Vero";"AFFITTACAMERE";"Falso";"17/02/2017"
"Falso";"Falso";"119102";"Falso";"Vero";"VERONA";"Falso";"ALLOGGIO MAROGNA";"www.alloggisantanna.it";;"Falso";"Falso";"Falso";;"2 Leoni";"366 2273119";"Falso";"SANT'ANNA D'ALFAEDO";"1";"Piazza dalla Bona";"Falso";"info@alloggisantanna.it";"Falso";"Falso";"Falso";;"37020";"Falso";"Falso";"Falso";;;"Falso";"verona";"Vero";"vicinanza mezzi pubblici, wi-fi, vicinanza maneggio, zona montagna";"Falso";"Falso";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"13/01/2017"
"Falso";"Falso";"442";"Falso";"Vero";"VERONA";"Falso";"AL SOLE";"www.pizzeriaalsole.it";;"Falso";"Falso";"Vero";"0457550826";;"0457550826";"Falso";"PESCHIERA DEL GARDA";"3 / 5";"Via Andrea Palladio";"Falso";"info@pizzeriaalsole.it";"Falso";"Falso";"Vero";;"37019";"Falso";"Falso";"Falso";;"3";"Falso";"garda";"Falso";"GENTILEZZA E CORDIALITA'";"Falso";"Vero";;"Falso";"Vero";"Falso";"Vero";"Falso";"Vero";"Falso";"AFFITTACAMERE";"Falso";"09/01/2017"
"Falso";"Falso";"167409";"Falso";"Falso";"VERONA";"Falso";"AMANTITRE";;;"Falso";"Falso";"Falso";"045595214";"3 Leoni";"045595499";"Falso";"VERONA";"3";"VICOLO AMANTI";"Falso";"info@anticaportaleona.com";"Falso";"Falso";"Falso";;"37100";"Falso";"Falso";"Falso";;;"Falso";"verona";"Vero";"frigobar-servzio lavanderia";"Vero";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"23/12/2016"
"Falso";"Falso";"454";"Falso";"Falso";"VERONA";"Falso";"ANDREOLI & MIGLIORANZI";"www.hotelallacampagna.com";;"Falso";"Falso";"Vero";"0459250680";"3 Leoni";"045545513";"Falso";"SAN GIOVANNI LUPATOTO";"2";"Via Borgo Case Popolari";"Falso";"info@hotelallacampagna.com";"Falso";"Falso";"Vero";;"37057";"Falso";"Falso";"Falso";;"2";"Falso";"verona";"Vero";"TV SATELLITE E ARIA CONDIZIONATA NELLE CAMERE";"Falso";"Vero";;"Falso";"Falso";"Falso";"Vero";"Falso";"Falso";"Vero";"AFFITTACAMERE";"Falso";"03/04/2017"
"Falso";"Falso";"441";"Falso";"Vero";"VERONA";"Falso";"ANTICA DIMORA IL CONTE DI VERONA";"www.anticadimoraverona.it";;"Falso";"Falso";"Falso";"045 6770506";;"045 6770346 -  366 1233368";"Vero";"PASTRENGO";"17";"Località Ronchi";"Falso";"anticadimorailconte@gmail.com";"Falso";"Falso";"Falso";;"37010";"Falso";"Falso";"Falso";;"3";"Falso";"garda";"Vero";"DOCCIA IDROMASS. -APERTURA 24H/24H -NAVETTA GRATIS";"Falso";"Vero";;"Falso";"Vero";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"28/03/2014"
"Falso";"Falso";"44581";"Falso";"Vero";"VERONA";"Falso";"ANTICA TRATTORIA DA BEPI";"www.cortelonardi.it";;"Falso";"Falso";"Falso";;"2 Leoni";"0457755001";"Vero";"MARANO DI VALPOLICELLA";"14/a";"Via Valpolicella";"Falso";"info@anticatrattoriadabepi.it";"Falso";"Falso";"Falso";;"37020";"Falso";"Falso";"Falso";;"2";"Falso";"verona";"Vero";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Vero";"Falso";"AFFITTACAMERE";"Falso";"10/04/2017"
"Falso";"Falso";"201245";"Falso";"Falso";"VERONA";"Falso";"ANTICO ALLOGGIO LESSINIA";;;"Falso";"Vero";"Falso";;"3 Leoni";"045 7835503";"Vero";"VELO VERONESE";"55";"Piazza Vittoria";"Falso";"pizzerialessinia@gmail.com";"Falso";"Falso";"Falso";;"37030";"Falso";"Falso";"Falso";;;"Falso";"verona";"Vero";"accettazione gruppi, wi-fi";"Vero";"Falso";;"Falso";"Vero";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"01/09/2017"
"Falso";"Falso";"45760";"Falso";"Falso";"VERONA";"Falso";"ARCOBALENO";;;"Falso";"Falso";"Falso";"0459578125";"3 Leoni";"0457514243 - 3338266357";"Falso";"VERONA";"18";"Via Gian Battista da Monte";"Falso";"info@arcobalenoverona.com";"Falso";"Falso";"Falso";;"37126";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";;"Vero";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"17/03/2017"
"Falso";"Falso";"123483";"Falso";"Falso";"VERONA";"Falso";"ARENA LUXURY ROOMS";"www.arenaluxuryroom.it";;"Falso";"Falso";"Falso";;"3 Leoni";"347 5858693";"Falso";"VERONA";"2/A";"PIAZZA MURA GALLIENO";"Falso";"info@arenaluxuryroom.it";"Falso";"Falso";"Falso";;"37100";"Falso";"Falso";"Falso";;;"Falso";"verona";"Vero";"frigobar-vicinanza mezzi pubblici - wi fi";"Vero";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Vero";"AFFITTACAMERE";"Falso";"17/05/2016"
"Falso";"Falso";"47554";"Falso";"Vero";"VERONA";"Falso";"ARENA SUITE";"WWW.ARENASUITE.IT";;"Falso";"Falso";"Falso";;;"3475903135";"Falso";"VERONA";"36";"STRADONE PORTA PALIO";"Falso";"INFO@ARENASUITE.IT";"Falso";"Falso";"Vero";;"37100";"Falso";"Falso";"Falso";;"2";"Falso";"verona";"Vero";;"Vero";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Vero";"AFFITTACAMERE";"Falso";"16/02/2018"
"Falso";"Falso";"111983";"Falso";"Vero";"VERONA";"Falso";"ART VERONA ROOMS";"www.artveronabb.it";;"Falso";"Falso";"Falso";;"3 Leoni";"391 3554159";"Falso";"VERONA";"34";"Piazza Renato Simoni";"Falso";"info@artveronabb.it";"Falso";"Falso";"Falso";;"37100";"Falso";"Falso";"Falso";;"2";"Falso";"verona";"Vero";"Vicinanza mezzi pubblici, frigobar, servizio navetta, menu per celiali, wi-fi";"Vero";"Vero";;"Falso";"Vero";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"13/01/2017"
"Falso";"Falso";"201258";"Falso";"Falso";"VERONA";"Falso";"ATTICO SEI";"www.atticosei.com";;"Falso";"Falso";"Falso";;"4 Leoni";"333 6587337";"Falso";"VERONA";"8";"Piazzale Stefani";"Falso";"info@atticosei.com";"Falso";"Falso";"Vero";;"37100";"Falso";"Falso";"Falso";;;"Falso";"verona";"Vero";"vicinanza mezzi pubblici, accettazione gruppi, frigobar, wi-fi";"Vero";"Vero";;"Falso";"Vero";"Falso";"Vero";"Falso";"Falso";"Vero";"AFFITTACAMERE";"Falso";"11/09/2017"
